Negative_0,Neutral_1,Positive_2
0.16769184,0.07554147,0.7567667
0.6438706,0.21545494,0.1406745
0.98204386,0.0025531193,0.015402957
0.57981277,0.14433348,0.2758538
0.20612265,0.62934625,0.16453108
0.010272294,0.001643937,0.9880838
0.62458706,0.114888124,0.2605248
0.797395,0.11569164,0.08691333
0.9437518,0.0028587657,0.053389423
0.038840555,0.044600572,0.91655886
0.017743621,0.0024633368,0.9797931
0.4826012,0.15266797,0.3647308
0.7813791,0.10549217,0.113128774
0.02997013,0.040666558,0.9293633
0.7408037,0.13722529,0.12197101
0.978921,0.0029931334,0.018085815
0.9883025,0.0037194085,0.007978026
0.9780372,0.0038432828,0.018119512
0.049491037,0.059985,0.890524
0.018190937,0.018441472,0.9633676
0.987763,0.0025253112,0.009711715
0.13501005,0.050442208,0.8145478
0.6362999,0.16261838,0.20108168
0.5408048,0.18249826,0.27669692
0.33750626,0.47285774,0.18963599
0.32519692,0.26865777,0.4061454
0.7863816,0.08707942,0.12653889
0.48605058,0.2050093,0.30894008
0.14638488,0.09350002,0.76011515
0.7437717,0.12949492,0.12673335
0.9306197,0.010962363,0.05841788
0.78923726,0.102319226,0.10844346
0.14584264,0.11662194,0.7375355
0.05230395,0.14058903,0.80710703
0.0538639,0.14852288,0.7976132
0.8668472,0.075544044,0.057608735
0.47308734,0.29177898,0.2351336
0.25791532,0.21984908,0.52223563
0.6582939,0.20699657,0.13470954
0.45403573,0.0033136988,0.5426506
0.9787411,0.004119316,0.017139565
0.14574662,0.64193535,0.212318
0.05109537,0.087426946,0.8614777
0.008815627,0.0038805078,0.9873039
0.5299482,0.007915718,0.46213612
0.20158829,0.32766685,0.47074485
0.009012874,0.0024206913,0.98856646
0.64177954,0.18249781,0.1757226
0.9247469,0.031675905,0.04357729
0.84670854,0.08141811,0.071873374
0.7480801,0.07755239,0.1743675
0.89142644,0.0048336536,0.103739895
0.119435936,0.16182944,0.7187347
0.053870257,0.007792528,0.9383372
0.39674565,0.1867838,0.4164705
0.9868951,0.005633916,0.0074710175
0.6552177,0.11366429,0.23111801
0.0731771,0.08210578,0.84471714
0.7936509,0.073498674,0.13285033
0.36041316,0.49103153,0.14855525
0.9567847,0.0027053498,0.040509954
0.016676705,0.0159015,0.96742177
0.22051615,0.1904767,0.5890071
0.3046247,0.222639,0.47273633
0.048917547,0.06538456,0.8856979
0.6758156,0.19130056,0.1328838
0.011564979,0.0023875278,0.9860475
0.27962446,0.53982264,0.18055291
0.98482335,0.0051886938,0.009987973
0.008695353,0.0043410263,0.98696357
0.052161526,0.07664513,0.8711934
0.9626988,0.007326966,0.029974125
0.009468403,0.001896676,0.98863494
0.13819756,0.08725537,0.77454704
0.18249886,0.4675474,0.3499537
0.44550386,0.14963967,0.40485644
0.9162613,0.032691885,0.051046744
0.034235463,0.002421236,0.96334326
0.23746787,0.49042094,0.27211115
0.2946592,0.0018497981,0.703491
0.05926858,0.10205698,0.8386744
0.3705503,0.39749798,0.2319517
0.31093174,0.11620297,0.57286525
0.009543279,0.0067342715,0.9837225
0.6594745,0.12514172,0.21538377
0.08170983,0.10946381,0.8088263
0.70225686,0.17827068,0.11947244
0.43218824,0.13696781,0.430844
